date,open,close,high,low,volume,amount
2020-01-02,44.7098307600,45.5406135000,45.6473195400,44.5192842600,34622557,2050141335.8400
2020-01-03,45.6549414000,44.4049563600,45.7006725600,44.3439814800,27004255,1587220595.7700
2020-01-06,44.0543508000,43.5970392000,44.3592252000,42.6824160000,28842533,1656276948.2400
2020-01-07,43.7494764000,44.2448973000,44.3668470600,43.5970392000,22526507,1304633782.9000
2020-01-08,43.8333168600,44.4202000800,44.9537302800,43.7266108200,25321048,1471083460.8000
2020-01-09,44.8165368000,45.3119577000,45.5253697800,44.5878810000,29635395,1757281375.3800
2020-01-10,45.7082944200,45.7235381400,46.1046311400,45.3119577000,28070612,1683152339.9100
2020-01-13,46.1122530000,45.8150004600,46.2342027600,45.3500670000,27951167,1678723651.4900
2020-01-14,46.1122530000,45.6396976800,46.3409088000,45.5177479200,16250035,976486535.5000
2020-01-15,45.6549414000,45.3500670000,45.7311600000,44.8775116800,21489973,1272651578.1400
2020-01-16,45.7311600000,45.4720167600,45.7768911600,45.1442767800,19981398,1192330868.2200
2020-01-17,45.7235381400,45.9674376600,46.4933460000,45.3424451400,21713278,1312054699.0800
2020-01-20,46.3409088000,45.8835972000,46.4628585600,45.6015883800,20191079,1217493005.3700
2020-01-21,45.5025042000,44.2830066000,45.5482353600,44.2296535800,27643206,1617441935.6500
2020-01-22,43.8409387200,43.8104512800,44.1763005600,42.6824160000,41160619,2335993233.5100
2020-01-23,42.7586346000,41.9964486000,43.2464336400,41.9202300000,59653651,3313820978.9400
2020-02-03,37.7968037400,38.2541153400,40.0833617400,37.7968037400,70506720,3565939364.3800
2020-02-04,38.3379558000,40.2357989400,40.2586645200,38.3379558000,40413099,2097010018.9300
2020-02-05,40.3348831200,40.2967738200,40.7540854200,39.9766557000,34895006,1848774201.6800
2020-02-06,40.2967738200,40.9979849400,41.1275565600,39.9080589600,39366799,2086495959.9400
2020-02-07,40.7769510000,40.2662863800,40.7998165800,39.7861092000,34409001,1811882957.4300
2020-02-10,39.8623278000,39.8623278000,40.2281770800,39.4202599200,34604769,1804543411.4900
2020-02-11,40.5406733400,41.6763304800,41.9126081400,40.2434208000,49388233,2684341234.5500
2020-02-12,41.5924900200,41.8363895400,42.1946169600,41.1732877200,23433771,1284759463.6500
2020-02-13,41.5848681600,41.0056068000,41.6001118800,40.7769510000,31930659,1723256903.7200
2020-02-14,40.7769510000,40.9598756400,41.1275565600,40.5330514800,21004387,1125281556.4700
2020-02-17,40.6550012400,41.4629184000,41.4781621200,40.5787826400,32505251,1751927715.3400
2020-02-18,41.4629184000,40.7998165800,41.4629184000,40.6397575200,33203504,1783036933.7100
2020-02-19,40.6702449600,40.8074384400,41.0589598200,40.5254296200,23732854,1270519685.5800
2020-02-20,40.9293882000,41.8135239600,41.9049862800,40.6397575200,37041152,2013322150.7300
2020-02-21,41.5391370000,41.3714560800,41.7830365200,41.1732877200,29779869,1616397369.1800
2020-02-24,42.1946169600,41.8516332600,42.2022388200,41.5010277000,40782414,2243496137.5700
2020-02-25,41.1580440000,41.4857839800,41.5086495600,41.0056068000,31546203,1706738502.1400
2020-02-26,40.9293882000,41.3866998000,42.1641295200,40.5559170600,38724015,2107804633.1900
2020-02-27,41.3866998000,41.8516332600,42.0726672000,41.3181030600,28493463,1563743469.2300
2020-02-28,41.0665816800,40.4339673000,41.2952374800,40.2357989400,33405713,1788324822.8200
2020-03-02,40.4339673000,41.4171872400,41.7296835000,40.4339673000,31893449,1725854576.2700
2020-03-03,41.5467588600,41.5391370000,41.9202300000,41.1351784200,26499919,1441435067.4000
2020-03-04,41.1580440000,41.3485905000,41.4934058400,40.8607914600,23908427,1290728835.9400
2020-03-05,41.5772463000,43.0939964400,43.2921648000,41.4248091000,57571838,3214972954.9900
2020-03-06,42.5452225200,42.5299788000,42.9110718000,42.3318104400,28024324,1565437998.7500
2020-03-09,41.4629184000,41.0742035400,41.5162714200,41.0132286600,35634254,1925269108.3900
2020-03-10,41.0742035400,42.1641295200,42.4385164800,41.0742035400,37563181,2061033028.3000
2020-03-11,42.0116923200,41.5162714200,42.1641295200,41.5086495600,19260673,1053884394.6800
2020-03-12,41.0437161000,40.5254296200,41.0589598200,40.3043956800,34405501,1833239648.8500
2020-03-13,38.7724018200,39.5574534000,40.3653705600,38.1626530200,45208351,2323212180.3200
2020-03-16,39.7861092000,38.1855186000,39.8394622200,38.1093000000,39667900,2019157775.4600
