date,open,close,high,low,volume,amount
2020-01-02,55.0938252700,55.2531302400,55.9365999500,54.3178559000,20611589,2213454650.9500
2020-01-03,55.2531302400,56.2963208500,56.6252085300,54.4566053900,18084178,1956828808.7400
2020-01-06,57.1956231000,56.0599328300,58.8400615000,55.3970186000,26500200,2958351779.8700
2020-01-07,56.0188218700,55.7567395000,56.3425706800,55.1966026700,13507544,1461154189.4700
2020-01-08,56.0188218700,56.3220152000,57.2984005000,55.0372977000,19224068,2098374347.2900
2020-01-09,57.5553440000,59.0970050000,59.3539485000,56.5327088700,20164351,2287090666.4400
2020-01-10,58.6858954000,58.2285359700,58.6858954000,57.3909001600,14428007,1628569248.4500
2020-01-13,59.6108920000,60.0733903000,60.8853317600,58.6858954000,21597445,2516539925.0900
2020-01-14,61.4146353700,59.4567259000,62.0518552500,59.1895046600,21768473,2585867747.0900
2020-01-15,59.4567259000,59.2511711000,60.4228334600,57.6632602700,17758720,2031327383.2000
2020-01-16,59.6108920000,59.8164468000,59.8678355000,58.5060349500,12934158,1492301746.7600
2020-01-17,59.7958913200,59.1381159600,60.4125557200,58.5831180000,14662407,1694771901.3000
2020-01-20,59.0918661300,63.3108784000,64.2769859600,58.0178423000,24892200,2992287056.7900
2020-01-21,62.9562963700,62.5143535500,63.2081010000,61.9028280200,14267108,1734790906.5200
2020-01-22,62.5143535500,68.7683583400,68.7683583400,61.3478300600,34991561,4493837402.1600
2020-01-23,68.0900275000,67.0982255900,70.4025190000,64.2872637000,35986224,4755930193.2900
2020-02-03,65.0375387200,69.5597443200,73.7325067600,65.0067055000,52634602,7148822247.2700
2020-02-04,74.9093079900,76.5177743000,76.5177743000,71.9493188700,35913583,5283954889.5600
2020-02-05,81.2815067900,84.1695517300,84.1695517300,80.3205381000,53082382,8588999756.7300
2020-02-06,79.6576238700,87.3042624300,87.3042624300,78.6195721300,57918993,9265610935.7100
2020-02-07,85.3052420000,82.3246974000,87.0164857100,81.6823386500,45499480,7426674364.7400
2020-02-10,82.7358070000,84.9249656200,86.6310704600,82.2219200000,37540921,6161572536.5400
2020-02-11,85.9219064000,81.3997008000,86.3330160000,80.9885912000,33994559,5451183356.8500
2020-02-12,78.9073488500,82.0420595500,83.1674720800,78.1262406100,32586206,5174595055.6500
2020-02-13,80.1612331300,80.3410935800,81.9033100600,78.9792930300,31360960,4914616428.0000
2020-02-14,81.6566443000,77.0316613000,82.1705313000,76.4972188200,43961853,6739413554.7600
2020-02-17,76.5691630000,79.1899867000,80.2485939200,76.5074965600,34447133,5309578996.4400
2020-02-18,79.1899867000,80.4849819400,81.7080330000,78.5476279500,28230513,4400767113.9100
2020-02-19,84.7913550000,78.7274884000,84.8427437000,78.5681834300,41816783,6598898913.7800
2020-02-20,80.4233155000,82.2219200000,84.7913550000,78.6247110000,51844020,8254242623.0400
2020-02-21,81.0913686000,82.1705313000,83.5066375000,79.7655401400,33805137,5376640660.2400
2020-02-24,80.6802590000,79.3492916700,82.1448369500,78.3574897600,36523081,5670550935.3900
2020-02-25,76.9494393800,83.1726109500,85.0482985000,76.4869410800,51602630,8116792624.5500
2020-02-26,81.5538669000,78.5527668200,82.6587239500,77.4427709000,33827986,5273485008.9700
2020-02-27,79.7038737000,76.8158287600,80.5055374200,76.4663856000,33200245,5062343300.3300
2020-02-28,71.9390411300,69.7190492900,74.5136150000,69.6368273700,50844719,7090643685.9900
2020-03-02,71.3275156000,71.9390411300,72.9462596500,69.3490506500,31815002,4426474527.3100
2020-03-03,75.0275020000,74.9144468600,76.9237450300,73.9483393000,29691061,4366384638.6300
2020-03-04,73.9945891300,73.8455619000,74.9658355600,71.8311248600,20594614,2945905656.0900
2020-03-05,75.3050009800,74.6266701400,75.9679152100,72.9719540000,22463328,3254884224.3200
2020-03-06,72.9770928700,73.7530622400,75.6955551000,72.7150105000,15980869,2309879439.4500
2020-03-09,71.4251541300,68.5782201500,72.4066783000,68.3469710000,29425285,4022533011.7600
2020-03-10,68.6604420700,72.2165401100,72.8126490300,68.3521098700,29274470,4026499803.8300
2020-03-11,73.4858410000,72.3450118600,76.3533304600,71.3275156000,33923207,4857506589.4700
2020-03-12,69.9914094000,68.9636354000,70.2843249900,67.4836408400,33385759,4454589854.6000
2020-03-13,64.8011507000,67.8844727000,68.7580806000,64.7549008700,27455284,3557983786.6000
2020-03-16,65.7775360000,61.1833862200,66.2297565600,61.0960254300,49048485,5992811655.6800
2020-03-17,62.1803270000,60.6129716500,63.1721289100,57.1699287500,39220328,4571660103.9400
2020-03-18,61.1011643000,60.3046394500,63.4650445000,59.6108920000,31338376,3757216350.3200
2020-03-19,61.1525530000,59.1175604800,61.4094965000,57.3960390300,33156307,3803916536.7100
2020-03-20,60.6386660000,59.5389478200,61.5122739000,58.1822861400,22514220,2615607081.5300
2020-03-23,56.9386796000,55.2325747600,57.3343725900,53.9632738700,30761809,3324031004.2800
2020-03-24,56.8359022000,57.3343725900,58.0075645600,54.9859090000,29116996,3222263478.7700
2020-03-25,59.7136694000,62.1803270000,62.7867136600,59.6108920000,38592846,4603104636.2700
2020-03-26,61.1576918700,61.4763018100,62.8740744500,60.7928321000,19437090,2344662560.1400
2020-03-27,62.8021302700,61.0035257700,63.3776837100,60.3097783200,17499077,2101160340.2500
2020-03-30,59.6108920000,61.3118579700,61.9953276800,56.8872909000,26165539,3010412506.6300
2020-03-31,61.8051894900,61.8668559300,63.2749063100,60.5667218200,19485192,2350421157.9400
2020-04-01,63.2594897000,61.8719948000,64.5236517200,61.1936639600,29895088,3664714147.4600
2020-04-02,60.3817225000,63.5164332000,63.5164332000,59.9757517700,20958836,2523168230.1600
2020-04-03,64.0560145500,62.1803270000,64.2358750000,61.5636626000,18220415,2225897354.0200
2020-04-07,63.5164332000,64.0817089000,64.7960118300,63.2183787400,18372889,2284706364.5900
2020-04-08,63.6705993000,63.2081010000,64.4876796300,63.0025462000,11946973,1479285370.1800
2020-04-09,63.7117102600,61.7743562700,63.9686537600,61.5688014700,16052778,1944405072.9300
2020-04-10,62.2574100500,60.8750540200,63.2440730900,60.6026939100,14569554,1748457124.1100
2020-04-13,59.0456163000,58.9377000300,60.1196401300,58.1103419600,12458136,1432291941.7000
2020-04-14,60.6386660000,64.8319839200,64.8319839200,60.3817225000,38893873,4803638073.8300
2020-04-15,66.7025326000,65.7775360000,67.7765564300,65.3818430100,32564492,4226641423.3300
2020-04-16,65.9162854900,68.3212766500,68.7118307700,65.1711493400,21638110,2835377036.9800
2020-04-17,69.9297429600,70.3768246500,72.2422344600,69.4261337000,29252182,4024198915.3600
2020-04-20,70.0941868000,69.1229403700,70.2740472500,67.7714175600,18700233,2507578389.9100
2020-04-21,67.8279451300,67.0725312400,68.2750268200,65.2636490000,19391746,2519303194.6900
2020-04-22,65.4332317100,67.2421139500,67.9872501000,65.4178151000,14686885,1904011483.1100
2020-04-23,68.2955823000,66.7539213000,68.2955823000,66.0858682000,12537857,1635621701.8900
2020-04-24,66.8053100000,67.6737790300,69.8886320000,66.8053100000,16991648,2263542699.2100
2020-04-27,68.3572487400,68.8146081700,69.8886320000,67.8741949600,14365453,1933994988.8000
2020-04-28,70.4025190000,71.0705721000,71.9955687000,67.6378069400,22691656,3115997363.1300
2020-04-29,69.9554373100,71.2864046400,72.0418185300,69.8937708700,11954408,1659513004.4200
2020-04-30,73.9997280000,74.1950050600,76.3173583700,73.9997280000,23338521,3409837973.1300
2020-05-06,71.4302930000,74.9195857300,75.4386116000,71.3018212500,19146391,2769607852.4900
2020-05-07,75.1816681000,73.5886184000,75.6441664000,72.4580670000,16078680,2302059541.3300
2020-05-08,73.4858410000,74.0408389600,74.6266701400,72.4015394300,14133880,2024998124.8400
2020-05-11,74.1025054000,70.7211289400,75.0172242600,69.4055782200,28536431,3959234289.1500
2020-05-12,71.4611262200,71.4302930000,71.8825135600,69.7498825100,16027660,2208624438.5100
2020-05-13,70.5721017100,71.0500166200,71.7643195500,70.3408525600,12154242,1678255895.3600
2020-05-14,70.8393229500,69.6830772000,71.0448777500,69.6316885000,11433488,1560698259.4900
2020-05-15,71.9133467800,74.7602807600,75.8959710300,71.4097375200,32212118,4605864489.3800
2020-05-18,74.5136150000,72.8743154700,74.5136150000,71.7848750300,16088936,2287442333.5600
2020-05-19,73.5886184000,73.6194516200,74.9247246000,73.2391752400,10425183,1499320586.0400
2020-05-20,77.0830500000,76.7233291000,79.8580398000,76.5743018700,32969279,5027432242.2700
2020-05-21,78.0131854700,75.7777770200,78.9073488500,75.3255564600,15487607,2328717775.5000
2020-05-22,75.3461119400,73.3882024700,75.4694448200,72.4580670000,14817295,2127136883.1100
2020-05-25,73.3213971600,74.1538941000,74.2104216700,72.2268178500,10378205,1482241104.4300
2020-05-26,74.9093079900,77.0984666100,77.2937436700,74.6163924000,17486531,2596292602.2800
2020-05-27,77.0624945200,77.8538805000,79.6524850000,77.0316613000,18104917,2763780108.4700
2020-05-28,77.0779111300,75.9730540800,77.5455483000,73.7427845000,17424709,2553996974.3500
2020-05-29,75.5413890000,74.7859751100,75.9679152100,74.2566715000,14142791,2060033605.2400
2020-06-01,75.7829158900,77.5712426500,78.6401276100,75.2125013200,15176562,2284037537.3700
2020-06-02,79.1385980000,76.8055510200,79.5959574300,75.5311112600,13703028,2055312032.7900
2020-06-03,77.0830500000,76.3122195000,77.6586034400,75.9576374700,11363532,1693882301.3300
2020-06-04,77.0944202000,77.1973500000,79.3228503700,76.4768414000,13757396,2082248431.5700
2020-06-05,76.9657579500,77.8149288000,77.8921261500,75.7872117400,9862700,1475831340.8700
2020-06-08,79.1221372600,77.9178586000,79.5390029500,77.4340885400,10560379,1605995418.5900
2020-06-09,79.5132705000,79.2353600400,80.2698045300,78.7927619000,15069925,2325730459.8600
2020-06-10,82.2923751000,80.6352053200,82.2923751000,78.9986215000,19821016,3097487314.6000
2020-06-11,82.3438400000,84.3921430200,87.5315019200,81.3814463700,36817709,6056179350.3900
2020-06-12,82.4364768200,81.9835857000,83.6304625000,81.7674331200,25244551,4038133987.3900
2020-06-15,80.4036132700,81.1601473000,82.9922977400,80.0330659900,15945246,2526289032.8200
2020-06-16,82.8584890000,82.3438400000,84.0318887200,81.3196884900,13129741,2107390563.2200
2020-06-17,81.8497769600,81.2116122000,82.6011645000,80.2903904900,12529134,1973464261.5800
2020-06-18,81.2116122000,81.8034585500,82.1225409300,80.2852440000,9656214,1526258395.5400
2020-06-19,82.3335470200,85.3802691000,86.8727512000,81.9063883500,25019327,4137793351.6700
2020-06-22,85.3030717500,84.9170850000,88.1593737000,84.6597605000,19041226,3191062036.8700
2020-06-23,85.4317340000,86.9190696100,87.0425853700,84.1554044800,15947506,2662217150.9800
2020-06-24,87.7579474800,88.2623035000,89.3327734200,87.1300757000,14660407,2515400581.4200
2020-06-29,87.7476545000,88.0255649600,88.7769525000,86.9808274900,11604049,1980641413.0400
2020-06-30,89.0342770000,89.7341996400,92.3640560300,89.0342770000,16251433,2849476587.9900
2020-07-01,91.8648465000,87.1815406000,93.6146531000,86.3992741200,28657478,4991087872.7600
2020-07-02,88.5196280000,86.0493128000,88.6122648200,84.6649069900,27047963,4535545521.6200
2020-07-03,87.4903300000,86.2551724000,87.8711702600,85.9618224700,24026447,4054240060.7600
2020-07-06,86.5639618000,91.5045922000,92.6368200000,86.2500259100,30715268,5324573165.3400
2020-07-07,96.7540120000,100.6550514200,100.6550514200,96.4966875000,25360423,4915716571.7300
2020-07-08,101.8953555100,101.6792029300,102.3225141800,97.7730170200,28889036,5645451323.9300
2020-07-09,101.3858530000,105.5133379800,106.4139737300,100.8712040000,27903552,5622121400.9700
2020-07-10,104.4634540200,104.9369311000,106.6146868400,103.2385894000,16829333,3436550911.7000
2020-07-13,108.8997284000,115.3379873900,115.4306242100,108.8997284000,30326879,6609862260.4200
2020-07-14,110.1348860000,111.1384515500,113.5830343000,107.4895901400,33329626,7129824248.0000
2020-07-15,112.7081310000,106.5477824700,113.5161299300,104.0157093900,27435061,5785551114.4000
2020-07-16,107.0469920000,101.2674837300,109.5584791200,101.0770636000,27254968,5596500616.3500
2020-07-17,101.3909994900,100.7168093000,103.5370858200,96.7951839200,30378591,5903627257.0500
2020-07-20,105.0347144100,105.6574397000,108.6475503900,102.4614694100,28999908,5919664189.9600
2020-07-21,108.0711435100,106.5323430000,108.0711435100,104.4737470000,18656592,3855792321.1000
2020-07-22,105.5030450000,106.9903806100,108.6887223100,104.4891864700,19165779,3992449598.5900
2020-07-23,106.5323430000,109.8775615000,110.9120059900,106.0176940000,25589954,5395410864.9500
2020-07-24,107.5616410000,102.2504633200,108.0248251000,100.7940066500,34398314,6943402672.1800
2020-07-27,101.9005020000,98.4523537000,103.4341560200,97.7781635100,25155581,4870628815.6000
2020-07-28,100.8969364500,101.6534704800,103.1871245000,100.6190259900,20148990,3988264848.1400
2020-07-29,101.6534704800,105.0810328200,105.5030450000,100.4955102300,18998583,3844683433.8500
2020-07-30,105.5030450000,105.6831721500,106.5220500200,104.1649576000,14353072,2944644012.9000
2020-07-31,106.0176940000,109.1930783300,110.8039297000,105.7603695000,20704980,4378422256.0400
2020-08-03,110.0731281200,110.9583244000,111.0612542000,108.1020224500,15106133,3216865097.6400
2020-08-04,110.2892807000,108.4313978100,114.7564340200,108.2409776800,19958062,4309494880.3600
2020-08-05,108.4571302600,108.2564171500,109.5173072000,106.3007509500,12730060,2664523682.8500
2020-08-06,111.6170751200,108.8482635000,112.1317241200,107.0469920000,14565688,3082282259.6000
2020-08-07,107.5616410000,105.1376442100,110.2892807000,104.0157093900,18055246,3733669851.5100
2020-08-10,105.0913258000,103.2797613200,105.6574397000,101.9416739200,13078744,2629646475.4100
2020-08-11,103.3157867500,102.1166545800,105.2971854000,101.9674063700,12233213,2468198212.5900
2020-08-12,102.8783351000,100.7322487700,103.0636087400,96.8569418000,25272741,4855191798.7600
2020-08-13,103.3415192000,100.8660575100,103.9488050200,100.0837910300,13061210,2581164116.9100
2020-08-14,101.7461073000,103.1202201300,103.1613920500,100.8660575100,11970002,2373752130.6900
2020-08-17,102.9298000000,101.1902863800,103.1202201300,99.9448358000,19707410,3866925434.6400
2020-08-18,102.7239404000,102.5592527200,105.5030450000,100.8094461200,22122398,4415130040.5500
2020-08-19,101.7975722000,97.8810933100,101.7975722000,97.7833100000,18714680,3610137183.1700
2020-08-20,96.2393630000,96.9701645800,98.2979590000,95.2100650000,13020138,2444311254.4900
2020-08-21,98.4832326400,98.9309772700,99.8110270600,97.7833100000,14655272,2815939720.4000
2020-08-24,99.9448358000,103.9642444900,107.0469920000,98.9361237600,25806984,5156579057.6300
2020-08-25,103.9642444900,102.8886280800,106.0176940000,102.3945650400,14549072,2935647680.1800
2020-08-26,102.4202974900,100.0477656000,102.9195070200,99.2963780600,15240258,2985718224.0800
2020-08-27,104.2164225000,105.4773125500,107.3043165000,102.4151510000,28397772,5799779573.0600
2020-08-28,106.1823816800,107.2013867000,107.8189655000,104.8237083200,16967122,3510925235.0700
2020-08-31,107.9013093400,106.1978211500,108.4674232400,105.5081914900,13514481,2797718777.3300
2020-09-01,106.2750185000,110.2635482500,110.6495350000,105.5081914900,19716189,4175644975.0000
2020-09-02,109.8055106400,108.7504801900,110.2017903700,107.0469920000,14608611,3084140607.8600
