date,open,close,high,low,volume
2020-01-02,4.0553494500,4.0908448500,4.1440879500,4.0376017500,810319568
2020-01-03,4.0997187000,4.1973310500,4.2239526000,4.0730971500,994540560
2020-01-06,4.1440879500,4.1795833500,4.2594480000,4.1085925500,947278496
2020-01-07,4.1973310500,4.1529618000,4.2328264500,4.1263402500,653764720
2020-01-08,4.2771957000,4.4014296000,4.5522850500,4.2505741500,2182749328
2020-01-09,4.4901681000,4.4369250000,4.5434112000,4.3748080500,1096408480
2020-01-10,4.4635465500,4.3925557500,4.4812942500,4.3304388000,703093840
2020-01-13,4.3836819000,4.3836819000,4.3925557500,4.2771957000,786480608
2020-01-14,4.3659342000,4.4014296000,4.4546727000,4.3393126500,773166192
2020-01-15,4.3748080500,4.3304388000,4.3748080500,4.2771957000,715602208
2020-01-16,4.3481865000,4.3393126500,4.3748080500,4.2949434000,487349936
2020-01-17,4.3481865000,4.2860695500,4.3570603500,4.2683218500,491750784
2020-01-20,4.2683218500,4.4191773000,4.4369250000,4.2505741500,889641648
2020-01-21,4.4369250000,4.4103034500,4.4635465500,4.3748080500,803157408
2020-01-22,4.4103034500,4.3659342000,4.4191773000,4.2150787500,889572480
2020-01-23,4.2683218500,4.1884572000,4.4014296000,4.0908448500,1068219520
2020-02-03,3.7713862500,3.7713862500,3.7713862500,3.7713862500,154408900
2020-02-04,3.5761615500,3.9133678500,3.9488632500,3.5761615500,1489145696
2020-02-05,3.8956201500,3.9222417000,4.0464756000,3.8778724500,1067412768
2020-02-06,3.9044940000,4.1440879500,4.1707095000,3.8423770500,1349789776
2020-02-07,4.1263402500,4.1352141000,4.1707095000,4.0553494500,830338080
2020-02-10,4.0819710000,4.2150787500,4.3038172500,4.0642233000,863797776
2020-02-11,4.1973310500,4.2150787500,4.2683218500,4.1618356500,686205936
2020-02-12,4.1795833500,4.2239526000,4.2328264500,4.1352141000,706165392
2020-02-13,4.2062049000,4.1884572000,4.2594480000,4.1440879500,777005680
2020-02-14,4.1707095000,4.1529618000,4.2239526000,4.1174664000,718688736
2020-02-17,4.1529618000,4.3570603500,4.3836819000,4.1440879500,1308946336
2020-02-18,4.3659342000,4.4901681000,4.5345373500,4.3304388000,1578692832
2020-02-19,4.5167896500,4.4014296000,4.5522850500,4.4014296000,1054338928
2020-02-20,4.4457988500,4.7386359000,4.7918790000,4.4014296000,2017216208
2020-02-21,4.8362482500,4.7475097500,5.0137252500,4.7386359000,1918324688
2020-02-24,4.8717436500,5.1024637500,5.1202114500,4.8096267000,1960349328
2020-02-25,4.9693560000,5.1734545500,5.1912022500,4.8273744000,2040261488
2020-02-26,5.0403468000,4.7652574500,5.0758422000,4.6765189500,2022177920
2020-02-27,4.7830051500,4.6942666500,4.8539959500,4.6587712500,1060013600
2020-02-28,4.4369250000,4.3481865000,4.5167896500,4.3038172500,1869642976
2020-03-02,4.4369250000,4.5079158000,4.5877804500,4.3836819000,1574090304
2020-03-03,4.6055281500,4.5167896500,4.7120143500,4.4546727000,1471458736
2020-03-04,4.4369250000,4.4546727000,4.4901681000,4.3038172500,1135765392
2020-03-05,4.5700327500,4.5256635000,4.6055281500,4.4724204000,925822912
2020-03-06,4.4546727000,4.5789066000,4.6853928000,4.4191773000,1187413904
2020-03-09,4.4369250000,4.3481865000,4.4812942500,4.3215649500,1232650000
2020-03-10,4.2683218500,4.4635465500,4.4635465500,4.2328264500,1241466832
2020-03-11,4.4724204000,4.3304388000,4.4812942500,4.3215649500,970968768
2020-03-12,4.2062049000,4.0908448500,4.2417003000,4.0198540500,1346076096
2020-03-13,3.8157555000,3.9843586500,4.0819710000,3.7536385500,1311660624
2020-03-16,3.9932325000,3.6826477500,3.9932325000,3.6560262000,1339906928
2020-03-17,3.7181431500,3.7713862500,3.8157555000,3.6027831000,1163137200
2020-03-18,3.7891339500,3.6649000500,3.8601247500,3.6471523500,965009632
2020-03-19,3.6649000500,3.7092693000,3.7536385500,3.5584138500,1121111152
2020-03-20,3.7536385500,3.7270170000,3.7625124000,3.6294046500,878583904
2020-03-23,3.5584138500,3.4962969000,3.6116569500,3.4341799500,1187667056
2020-03-24,3.5672877000,3.5051707500,3.5761615500,3.3809368500,925028448
2020-03-25,3.5761615500,3.5939092500,3.6205308000,3.5406661500,944823264
2020-03-26,3.5672877000,3.5051707500,3.5761615500,3.4962969000,660027344
2020-03-27,3.5584138500,3.5051707500,3.5761615500,3.5051707500,533497216
2020-03-30,3.3898107000,3.3365676000,3.3986845500,3.2655768000,968307984
2020-03-31,3.3720630000,3.2921983500,3.3809368500,3.2833245000,614617984
2020-04-01,3.2833245000,3.3720630000,3.4608015000,3.2655768000,1032628912
2020-04-02,3.3365676000,3.4608015000,3.4608015000,3.3188199000,814194592
2020-04-03,3.4430538000,3.3898107000,3.4519276500,3.3720630000,547832976
2020-04-07,3.4785492000,3.4962969000,3.5140446000,3.4430538000,736266208
2020-04-08,3.4608015000,3.4962969000,3.5229184500,3.4608015000,521052928
2020-04-09,3.5140446000,3.4785492000,3.5229184500,3.4785492000,368235712
2020-04-10,3.4696753500,3.3720630000,3.4785492000,3.3631891500,551880144
