date,open,close,high,low,volume,amount
2020-01-02,34.0187573700,34.4414116800,34.9328701800,34.0187573700,48843804,1713274183.9000
2020-01-03,34.3627783200,34.0679032200,34.6871409300,33.8418323100,44019437,1531343100.7200
2020-01-06,33.7140531000,36.0927122400,36.9871667100,33.6255905700,124336428,4546572811.3700
2020-01-07,36.0828830700,36.1221997500,36.1910039400,35.5914245700,49733045,1816298067.1600
2020-01-08,35.8273246500,35.4341578500,36.0337372200,35.4144995100,47125351,1709205340.7500
2020-01-09,35.9551038600,35.9157871800,36.2106622800,35.6209120800,46484015,1698261946.1200
2020-01-10,35.8273246500,35.6405704200,36.4760498700,35.3948411700,39585945,1446077463.7200
2020-01-13,35.7290329500,36.3580998300,36.6431457600,35.5815954000,50102186,1846205642.1200
2020-01-14,36.4662207000,35.7781788000,36.5448540600,35.7290329500,37473692,1371788078.7300
2020-01-15,35.6897162700,35.6602287600,36.0730539000,35.1884286000,34319862,1240427491.1200
2020-01-16,35.6602287600,35.6995454400,36.1320289200,35.5324495500,32834088,1196855409.8200
2020-01-17,35.8862996700,35.3456953200,35.9354455200,35.2474036200,31248738,1130456932.5700
2020-01-20,35.3850120000,35.9944205400,36.1025414100,35.0115035400,41308943,1502080992.8900
2020-01-21,35.9452746900,35.4144995100,36.3187831500,35.3653536600,34975462,1270504619.2400
2020-01-22,35.2474036200,36.2303206200,36.3482706600,35.1392827500,50916222,1862660437.9400
2020-01-23,35.7388621200,34.5888492300,35.9747622000,33.8123448000,64969974,2312794863.0400
2020-02-03,31.1289813900,31.4041981500,33.0751570500,31.1289813900,96516579,3127358382.1500
2020-02-04,31.9939483500,34.5495325500,34.5495325500,31.9448025000,106696515,3674946269.3400
2020-02-05,35.3751828300,37.5376002300,38.0094003900,34.5986784000,159254243,5987569732.0100
2020-02-06,37.6653794400,38.6286381000,38.6974422900,37.1542626000,130991689,5081874374.1200
2020-02-07,38.2158129600,38.1961546200,39.1200966000,37.4491377000,107461310,4183592782.2400
2020-02-10,38.4418838700,38.3534213400,39.0218049000,37.4491377000,84304345,3281871852.8800
2020-02-11,38.7269298000,37.1837501100,39.0021465600,37.0461417300,83444074,3193150986.2600
2020-02-12,37.2328959600,38.6286381000,38.6777839500,36.9576792000,104569399,4054918335.2700
2020-02-13,38.4320547000,37.7636711400,38.8252215000,37.5474294000,74657952,2885889011.3500
2020-02-14,37.5474294000,37.7046961200,38.4713713800,37.3999918500,62518707,2409471368.5300
2020-02-17,37.7046961200,38.8645381800,38.9824882200,37.6457211000,94927024,3718514224.3400
2020-02-18,39.0316340700,39.3658258500,39.8277968400,38.4615422100,97061812,3862633425.4200
2020-02-19,39.0316340700,37.9995712200,39.0316340700,37.9602545400,84477867,3300201456.3900
2020-02-20,38.2158129600,38.3435921700,38.5991505900,37.4982835500,61613714,2393525706.7600
2020-02-21,38.3829088500,40.6337887800,41.4987557400,38.3829088500,143469143,5899911958.5300
2020-02-24,41.2726848300,41.6756808000,42.4521852300,40.6436179500,115410150,4899672442.9100
2020-02-25,40.7222513100,41.2825140000,41.4102932100,39.0611215800,117799191,4859846718.3200
2020-02-26,40.2995970000,39.1004382600,40.4863512300,38.7269298000,91676891,3706319345.1300
2020-02-27,39.2773633200,40.2897678300,41.1154181100,38.4812005500,91107585,3705661294.6100
2020-02-28,38.7171006300,37.9307670300,39.7295051400,37.8423045000,89772145,3534285427.5800
2020-03-02,39.1692424500,40.0833552600,40.5158387400,38.4517130400,87231419,3511965315.8900
2020-03-03,40.9876389000,43.0517646000,44.0936566200,40.5551554200,189305067,8292350125.5800
2020-03-04,42.5406477600,42.5209894200,43.6808314800,41.1645639600,125571756,5437591389.9500
2020-03-05,43.7398065000,42.0688476000,43.9167315600,41.2628556600,103100170,4448259503.6200
2020-03-06,41.1645639600,41.1350764500,41.9214100500,40.7419096500,68072673,2850403841.8700
2020-03-09,39.9260885400,39.0709507500,40.4666928900,38.8841965200,80778644,3255512605.6500
2020-03-10,38.7072714600,40.4765220600,40.4961804000,38.5303464000,78228464,3153919773.6400
2020-03-11,40.6829346300,39.2183883000,41.0367847500,39.1004382600,64942009,2636262939.7300
2020-03-12,38.3337630000,37.7833294800,38.4123963600,37.2525543000,67796090,2609873813.4500
2020-03-13,35.3850120000,37.6555502700,38.4713713800,35.3850120000,67119089,2521770644.6600
2020-03-16,37.9405962000,35.4833037000,37.9405962000,35.1982577700,65398460,2420893111.5700
2020-03-17,35.9551038600,35.6700579300,36.3384414900,34.1072199000,57674262,2078586839.3300
2020-03-18,35.9551038600,35.0213327100,36.8298999900,34.9525285200,55150654,2022064090.1100
2020-03-19,35.1884286000,35.8862996700,36.1910039400,34.2939741300,56515924,2034234653.0500
2020-03-20,36.3777581700,35.6110829100,36.5645124000,35.2867203000,41705516,1518914866.5100
2020-03-23,34.4020950000,34.1465365800,35.0508202200,33.7238822700,46673415,1632570938.9000
2020-03-24,34.8542368200,34.8738951600,35.0803077300,33.9204656700,39859528,1406401274.8100
2020-03-25,35.6798871000,35.3751828300,35.8469829900,35.0901369000,41981343,1513650758.0000
2020-03-26,34.9918452000,35.1982577700,36.0140788800,34.8935535000,36447680,1315734267.8200
2020-03-27,36.0042497100,35.3751828300,36.1713456000,35.3063786400,47793390,1741129981.5200
2020-03-30,34.7952618000,33.9401240100,34.7952618000,33.4486655100,43104496,1491206031.5300
2020-03-31,34.4020950000,33.8713198200,34.5102158700,33.6550780800,23459599,813872387.2900
2020-04-01,33.8713198200,33.9106365000,34.5003867000,33.5174697000,26292862,912776509.7000
2020-04-02,33.8123448000,34.8542368200,34.8738951600,33.6649072500,33518132,1171623325.3200
2020-04-03,34.7362867800,34.2055116000,34.8345784800,34.0482448800,28206117,985460999.2900
2020-04-07,35.0016743700,35.1687702600,35.3456953200,34.7264576100,41196207,1469417797.5400
2020-04-08,34.8345784800,34.9820160300,35.3260369800,34.7756034600,27155296,967327523.5500
2020-04-09,35.3358661500,36.3089539800,36.4662207000,35.0311618800,60020008,2185782657.7500
2020-04-10,36.4662207000,35.1491119200,36.5153665500,35.0016743700,44355648,1605613364.3600
2020-04-13,34.7952618000,34.3332908100,34.7952618000,34.0875615600,25999032,909749341.6100
2020-04-14,33.5371280400,34.4708991900,34.5003867000,33.5272988700,39953427,1382176033.7300
2020-04-15,34.4217533400,34.1170490700,34.7461159500,34.0285865400,26757901,936677974.4300
2020-04-16,34.0089282000,33.8320031400,34.2251699400,33.6354197400,28581712,984091334.6100
2020-04-17,34.2153407700,34.0384157100,34.5593617200,33.8909781600,32175278,1120220448.4900
2020-04-20,34.1563657500,34.4315825100,34.4610700200,33.9990990300,24572314,857985971.1500
2020-04-21,34.3627783200,33.9499531800,34.3627783200,33.4781530200,27565833,950708020.7400
2020-04-22,33.8123448000,34.6478242500,34.6871409300,33.6255905700,37803211,1321240909.4000
2020-04-23,34.6478242500,34.1170490700,34.6871409300,34.0875615600,24035224,837641373.8400
2020-04-24,34.0187573700,33.1636195800,34.3234616400,33.1439612400,34240581,1169631182.2800
2020-04-27,33.1636195800,32.2396776000,33.2717404500,31.9448025000,44479395,1462934558.9300
2020-04-28,32.2298484300,32.2003609200,32.2396776000,30.3426477900,43933417,1404920378.1000
2020-04-29,31.8465108000,31.7187315900,32.2691651100,31.7089024200,16447157,534669111.2200
2020-04-30,32.0430942000,32.7114777600,32.9277195000,32.0430942000,32566333,1080705857.9100
2020-05-06,32.3281401300,33.2815696200,33.3896904900,32.2200192600,36138844,1210567650.2500
2020-05-07,33.3208863000,33.3208863000,33.7631989500,33.0456695400,28351987,962345280.9600
2020-05-08,33.4781530200,33.6845655900,34.1465365800,33.4781530200,33655696,1158610326.8600
2020-05-11,34.1858532600,33.9499531800,34.2546574500,33.6255905700,29025881,1002118547.7300
2020-05-12,34.0089282000,33.5666155500,34.0285865400,33.1144737300,23320586,794727965.7400
2020-05-13,33.5666155500,33.4683238500,33.5764447200,33.1931070900,17199364,584389591.4100
2020-05-14,33.3307154700,33.3110571300,33.6943947600,33.2913987900,14702163,500046197.1100
2020-05-15,33.3602029800,32.8490861400,33.4584946800,32.5247235300,28685510,960023968.2700
2020-05-18,32.8687444800,32.6525027400,33.2029362600,32.3281401300,26578897,885898779.9300
2020-05-19,33.0456695400,34.0384157100,34.0580740500,32.8982319900,48087913,1653451471.6300
2020-05-20,33.9794406900,33.7042239300,34.3332908100,33.5371280400,31998095,1105099212.5700
2020-05-21,33.9597823500,32.3084817900,34.0384157100,32.2593359400,40589292,1358138916.6500
2020-05-22,32.3281401300,31.8465108000,32.5640402100,31.6597565700,22333479,729592692.7300
2020-05-25,31.8661691400,31.0110313500,31.9742900100,30.7947896100,27959985,888685397.6700
2020-05-26,31.2076147500,31.6499274000,31.6695857400,31.2076147500,19614912,628701459.4900
2020-05-27,31.6990732500,31.1584689000,31.6990732500,31.0110313500,22319253,708397163.0600
2020-05-28,31.4435148300,31.2174439200,31.7089024200,30.8635938000,20406085,648539201.2500
2020-05-29,30.9717146700,31.4041981500,31.6499274000,30.9422271600,19164519,612902695.1000
2020-06-01,31.6499274000,32.3772859800,32.4952360200,31.5811232100,30734174,1005989768.1700
2020-06-02,32.4755776800,32.7114777600,33.0358403700,32.1512150700,30880546,1024432251.8800
2020-06-03,33.6649072500,32.8884028200,33.9597823500,32.7999402900,45061866,1529858755.7900
2020-06-04,32.9572070100,32.7311361000,33.2815696200,32.6328444000,21774129,728413754.8700
