date,open,close,high,low,volume
2020-03-19,22.4594928000,21.5973666000,22.4594928000,21.1552506000,155945747
2020-03-20,21.9584280000,22.8721344000,22.9237146000,21.9584280000,134315310
2020-03-23,22.1131686000,22.2236976000,22.4815986000,22.0173768000,92897116
2020-03-24,22.9531890000,23.2184586000,23.3216190000,22.7026566000,82535893
2020-03-25,23.7489978000,23.9405814000,24.0805848000,23.7047862000,80952655
2020-03-26,23.6532060000,24.1100592000,24.6258612000,23.6237316000,69463585
2020-03-27,24.4048032000,24.1100592000,24.5595438000,23.9332128000,58177545
2020-03-30,23.7121548000,24.0584790000,24.1100592000,23.4321480000,47749415
2020-03-31,24.2574312000,23.7858408000,24.3016428000,23.6974176000,37754006
2020-04-01,23.6679432000,23.6753118000,24.0584790000,23.5795200000,35814313
2020-04-02,23.3953050000,23.8300524000,23.8300524000,23.3658306000,28960147
2020-04-03,23.5795200000,23.6900490000,23.8153152000,23.5721514000,25161829
2020-04-07,24.1984824000,23.9626872000,24.2279568000,23.8742640000,43184378
2020-04-08,23.9479500000,23.7416292000,23.9479500000,23.6679432000,31813445
2020-04-09,23.7932094000,23.8005780000,23.8374210000,23.6605746000,28664595
2020-04-10,23.8816326000,23.6532060000,23.9921616000,23.5132026000,43743153
2020-04-13,23.5205712000,23.5279398000,23.7268920000,23.4468852000,23055549
2020-04-14,23.7121548000,24.1026906000,24.1026906000,23.6384688000,42707944
2020-04-15,24.0142674000,23.8890012000,24.0437418000,23.8153152000,23783848
2020-04-16,23.7268920000,23.6532060000,23.8816326000,23.5500456000,29499982
2020-04-17,23.9111070000,24.2132196000,24.4637520000,23.8300524000,69795242
2020-04-20,24.2353254000,24.2426940000,24.3753288000,23.9847930000,33602426
2020-04-21,24.2426940000,24.0584790000,24.3458544000,24.0068988000,32871489
2020-04-22,23.9111070000,24.1174278000,24.1321650000,23.8226838000,27943538
2020-04-23,24.1837452000,24.0879534000,24.2869056000,24.0584790000,24614551
2020-04-24,24.1100592000,23.9553186000,24.1100592000,23.8816326000,22259784
2020-04-27,24.1321650000,24.7437588000,25.0385028000,24.1100592000,65341471
2020-04-28,24.7584960000,24.9500796000,24.9795540000,24.5374380000,36651091
2020-04-29,24.9795540000,25.8048372000,25.8637860000,24.9721854000,65876588
2020-04-30,25.9006290000,25.8564174000,26.5638030000,25.8269430000,71533247
2020-05-06,25.4437758000,25.5174618000,25.6279908000,25.1858748000,50173590
2020-05-07,25.4953560000,25.3848270000,25.5100932000,25.0900830000,29948465
2020-05-08,25.6206222000,25.7679942000,25.9227348000,25.4585130000,39215460
2020-05-11,25.7753628000,25.7606256000,26.1437928000,25.7016768000,29584829
2020-05-12,25.7827314000,25.4879874000,25.8195744000,25.3774584000,34963382
2020-05-13,25.3479840000,25.4511444000,25.5543048000,25.1269260000,27983494
2020-05-14,25.3406154000,25.0016598000,25.3627212000,24.9058680000,42063019
2020-05-15,25.1932434000,24.9427110000,25.2448236000,24.8321820000,36192753
2020-05-18,24.7732332000,24.9058680000,25.2742980000,24.6921786000,36370093
2020-05-19,25.3479840000,25.2521922000,25.4069328000,25.0974516000,26430448
2020-05-20,25.2521922000,25.5543048000,25.8122058000,25.1269260000,38051757
2020-05-21,25.7237826000,25.5911478000,25.9227348000,25.5395676000,36252721
2020-05-22,25.4143014000,24.7806018000,25.5616734000,24.7658646000,42396439
