date,open,close,high,low,volume,amount
2020-01-02,59.6160400000,59.3992544000,59.6837855000,58.8369667500,21080991,1843430819.0000
2020-01-03,59.6295891000,58.2272572500,59.7515310000,58.0578935000,21817779,1888231586.0000
2020-01-06,57.9562752500,56.9671909500,58.0646680500,56.6013652500,29734839,2508527265.0000
2020-01-07,56.9739655000,57.4956058500,57.8749806500,56.6894344000,18940918,1603978430.0000
2020-01-08,56.9265436500,57.3668894000,57.4752822000,56.9062200000,12304171,1038810518.0000
2020-01-09,57.5836750000,58.8572904000,59.0740760000,57.5633513500,26017192,2246442616.0000
2020-01-10,59.2095670000,59.2773125000,59.9547675000,59.0063305000,23256665,2041426812.0000
2020-01-13,59.8734729000,59.5076472000,59.9412184000,58.5998575000,21503704,1878457191.0000
2020-01-14,59.4805490000,58.6066320500,59.4805490000,58.3153264000,21468124,1864841428.0000
2020-01-15,58.7014757500,58.8911631500,59.5821672500,58.3017773000,16496087,1436762675.0000
2020-01-16,59.3721562000,58.5592102000,59.4466762500,57.9901480000,20712394,1785398548.0000
2020-01-17,58.5998575000,61.4180703000,61.4316194000,58.5998575000,52624117,4707819765.0000
2020-01-20,62.8542749000,61.0386955000,63.3284934000,60.3476914000,29352713,2653002810.0000
2020-01-21,61.0386955000,61.2216083500,62.3190854500,60.8761063000,19950939,1809663671.0000
2020-01-22,61.2080592500,61.1945101500,61.7703469000,60.6389970500,16226239,1464485309.0000
2020-01-23,60.9844991000,59.6092654500,61.3774230000,59.0740760000,23701555,2099350021.0000
2020-02-03,54.5893239000,57.8953043000,58.8572904000,54.4673820000,41042008,3455638211.0000
2020-02-04,57.8817552000,58.7692212500,59.6702364000,56.5403943000,32433085,2781000930.0000
2020-02-05,58.9385850000,60.2325240500,60.2731713500,58.4575919500,29675828,2594153242.0000
2020-02-06,60.5983497500,61.0319209500,61.9193870000,59.8125019500,30832480,2772379774.0000
2020-02-07,61.3096775000,60.7338407500,61.3774230000,59.5076472000,22467653,2000843763.0000
2020-02-10,60.0902585000,59.9547675000,60.2257495000,59.1418215000,16548422,1459245759.0000
2020-02-11,60.2934950000,61.0725682500,61.5738849500,59.9615420500,22918742,2068042638.0000
2020-02-12,61.3164520500,62.9762168000,62.9762168000,61.1741865000,24963047,2304729552.0000
2020-02-13,63.1455805500,61.9532597500,63.4368862000,61.8245433000,18521631,1705612843.0000
2020-02-14,62.0887507500,62.0210052500,62.6307147500,61.6551795500,15010325,1377251110.0000
2020-02-17,62.0210052500,62.5832929000,62.8610494500,61.6822777500,16256991,1497322211.0000
2020-02-18,62.5900674500,61.3774230000,63.3759152500,61.1335392000,22754516,2074194351.0000
2020-02-19,61.2351574500,60.7541644000,61.5806595000,60.5577024500,16851331,1515228293.0000
2020-02-20,61.0928919000,61.5129140000,61.7026014000,60.4628587500,16027553,1451548142.0000
2020-02-21,61.1809610500,61.1064410000,61.4451685000,60.8896554000,19334718,1743549903.0000
2020-02-24,60.9506263500,59.8734729000,61.0048227500,59.3111852500,27950756,2473859353.0000
2020-02-25,59.1892433500,59.8260510500,60.9641754500,59.0740760000,23184351,2056139171.0000
2020-02-26,59.5482945000,58.7217994000,59.6092654500,58.5998575000,22998536,2000880351.0000
2020-02-27,58.9385850000,59.0808505500,59.6160400000,58.4643665000,19002179,1655869339.0000
2020-02-28,58.2611300000,56.9671909500,58.6540539000,56.6758853000,26959678,2290273511.0000
2020-03-02,57.6175477500,57.7191660000,58.5388865500,56.3100596000,26989162,2293961247.0000
2020-03-03,58.4372683000,59.8463747000,60.4628587500,58.4372683000,29242999,2585791390.0000
2020-03-04,59.6160400000,59.4805490000,59.6905600500,58.5321120000,15053100,1316422943.0000
2020-03-05,60.7067425500,62.1226235000,62.6645875000,60.3002695500,44192555,4032311153.0000
2020-03-06,62.3258600000,62.4952237500,63.5452790000,62.1226235000,31258261,2902987358.0000
2020-03-09,61.0048227500,60.2189749500,61.8516415000,60.1512294500,32820179,2951425664.0000
2020-03-10,60.4628587500,61.3774230000,62.0548780000,59.7176582500,26284468,2370345097.0000
2020-03-11,62.1835944500,60.3138186500,62.1835944500,60.1647785500,16010243,1436872955.0000
2020-03-12,59.2840870500,58.5185629000,60.2934950000,58.2611300000,25077454,2177872617.0000
2020-03-13,55.6868010000,57.3804385000,58.2611300000,55.5513100000,34967130,2922931307.0000
2020-03-16,57.5836750000,55.5851827500,58.0578935000,55.2464552500,28994095,2414261469.0000
2020-03-17,55.5851827500,54.9348259500,56.8791218000,53.5731414000,27293470,2216055124.0000
2020-03-18,55.0093460000,54.6028730000,57.0823583000,54.3928619500,28389686,2335986719.0000
2020-03-19,54.5351275000,53.5189450000,55.4158190000,52.2859769000,32231088,2538661497.0000
2020-03-20,54.1828509000,54.3047928000,54.8670804500,53.2886103000,24883224,1986863668.0000
2020-03-23,54.1964000000,55.7545465000,56.5607179500,53.7289560500,41520770,3397352302.0000
2020-03-24,56.2558632000,58.0307953000,58.2611300000,56.1474704000,31900549,2710737795.0000
2020-03-25,59.7176582500,60.2731713500,60.9574009000,58.6743775500,31844647,2820988078.0000
2020-03-26,60.2257495000,61.1606374000,61.9871325000,59.7176582500,31770356,2877001105.0000
2020-03-27,61.6822777500,61.5738849500,63.1726787500,61.0251464000,28469859,2609107608.0000
2020-03-30,60.9709500000,61.4451685000,62.6307147500,60.0767094000,25684644,2322353833.0000
2020-03-31,61.7635723500,62.3461836500,62.4478019000,60.9709500000,26304468,2400236989.0000
2020-04-01,61.9058379000,60.9709500000,61.9803579500,60.4289860000,19304498,1744533553.0000
2020-04-02,61.0048227500,62.2242417500,62.3190854500,60.7135171000,18138870,1648761214.0000
2020-04-03,62.1903690000,63.4978571500,64.3582250000,62.0074561500,29210344,2735078003.0000
2020-04-07,64.0194975000,64.6969525000,65.0221309000,63.3962389000,23768403,2257928667.0000
2020-04-08,64.2904795000,64.2091849000,65.3744075000,63.8365846500,16119858,1536416732.0000
2020-04-09,64.2159594500,65.5708694500,66.2550990000,63.9856247500,17708066,1710399981.0000
2020-04-10,65.5640949000,65.1779455500,67.5287144000,64.9679345000,17107628,1670871609.0000
2020-04-13,65.6995859000,65.4895748500,65.9637933500,64.5479124000,9332925,900406333.0000
2020-04-14,66.2009026000,66.7225429500,66.7564157000,65.0898764000,19345508,1889381723.0000
2020-04-15,66.7360920500,66.0044406500,67.4406452500,65.6318404000,14466307,1415306445.0000
2020-04-16,65.1508473500,65.9908915500,66.3363936000,64.7105016000,13984286,1358631624.0000
2020-04-17,66.0857352500,65.4421530000,66.5260810000,65.2795638000,14749545,1432127410.0000
2020-04-20,65.4421530000,65.5098985000,66.0518625000,65.0424545500,12854190,1242369641.0000
2020-04-21,65.7131350000,64.5614615000,65.7266841000,63.8501337500,18320323,1741681263.0000
2020-04-22,64.5546869500,66.0518625000,66.0518625000,63.7552900500,17745049,1708014972.0000
2020-04-23,66.3905900000,65.0695527500,66.9122303500,64.3582250000,19376577,1870197545.0000
2020-04-24,65.0221309000,64.5479124000,65.0289054500,64.0194975000,10850701,1032161869.0000
2020-04-27,64.9679345000,65.2727892500,65.9163715000,63.8772319500,18385978,1769049089.0000
2020-04-28,65.3066620000,65.0695527500,65.7131350000,64.3920977500,22129179,2124684725.0000
2020-04-29,64.7375998000,63.2675224500,65.0356800000,62.0887507500,24102982,2258366953.0000
2020-04-30,63.2742970000,63.0033150000,64.0872430000,62.6239402000,19649746,1838839151.0000
2020-05-06,62.6713620500,65.3202111000,65.3202111000,62.3936055000,26001373,2455778612.0000
2020-05-07,65.4082802500,65.4421530000,65.9366951500,64.7646980000,12458600,1201384790.0000
2020-05-08,65.6860368000,65.7470077500,66.8580339500,65.3269856500,16732086,1633145984.0000
2020-05-11,65.5098985000,63.4639844000,65.5640949000,63.2675224500,32938974,3102541443.0000
2020-05-12,63.4639844000,64.6563052000,64.7172761500,63.3555916000,18285628,1732154239.0000
2020-05-13,64.6563052000,64.8324435000,65.7131350000,63.7485155000,22492009,2144887797.0000
2020-05-14,64.6698543000,65.8486260000,66.3905900000,64.1549885000,22261679,2155706452.0000
2020-05-15,66.2550990000,64.2430576500,66.4922082500,64.0262720500,25366060,2426297766.0000
2020-05-18,64.3243522500,65.8486260000,66.5260810000,63.7485155000,30116321,2909787600.0000
2020-05-19,67.0680450000,66.3499427000,67.7251763500,65.9231460500,18534838,1822548174.0000
